orig_book_index	orig_chapter	orig_verse	orig_subverse	order_by	text
01O	1	30		300	ולכל־חית הארץ ולכל־עוף השמים ולכל ׀ רומש על־הארץ אשר־בו נפש חיה את־כל־ירק עשב לאכלה ויהי־כן׃
01O	1	31		310	וירא אלהים את־כל־אשר עשה והנה־טוב מאד ויהי־ערב ויהי־בקר יום הששי׃  פ
01O	2	1		320	ויכלו השמים והארץ וכל־צבאם׃
01O	2	2		330	ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל־מלאכתו אשר עשה׃
01O	2	3		340	ויברך אלהים את־יום השביעי ויקדש אתו כי בו שבת מכל־מלאכתו אשר־ברא אלהים לעשות׃  פ
01O	2	4		350	אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים׃
01O	2	5		360	וכל ׀ שיח השדה טרם יהיה בארץ וכל־עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על־הארץ ואדם אין לעבד את־האדמה׃
01O	2	6		370	ואד יעלה מן־הארץ והשקה את־כל־פני־האדמה׃
01O	2	7		380	וייצר יהוה אלהים את־האדם עפר מן־האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה׃
01O	2	8		390	ויטע יהוה אלהים גן־בעדן מקדם וישם שם את־האדם אשר יצר׃
01O	2	9		400	ויצמח יהוה אלהים מן־האדמה כל־עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע׃
01O	2	10		410	ונהר יצא מעדן להשקות את־הגן ומשם יפרד והיה לארבעה ראשים׃
01O	2	11		420	שם האחד פישון הוא הסבב את כל־ארץ החוילה אשר־שם הזהב׃
01O	2	12		430	וזהב הארץ ההוא טוב שם הבדלח ואבן השהם׃
01O	2	13		440	ושם־הנהר השני גיחון הוא הסובב את כל־ארץ כוש׃
01O	2	14		450	ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת׃
01O	2	15		460	ויקח יהוה אלהים את־האדם וינחהו בגן־עדן לעבדה ולשמרה׃
01O	2	16		470	ויצו יהוה אלהים על־האדם לאמר מכל עץ־הגן אכל תאכל׃
01O	2	17		480	ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות׃
01O	2	18		490	ויאמר יהוה אלהים לא־טוב היות האדם לבדו אעשה־לו  עזר כנגדו׃
01O	2	19		500	ויצר יהוה אלהים מן־האדמה כל־חית השדה ואת כל־עוף השמים ויבא אל־האדם לראות מה־יקרא־לו וכל אשר יקרא־לו האדם נפש חיה הוא שמו׃
01O	2	20		510	ויקרא האדם שמות לכל־הבהמה ולעוף השמים ולכל חית השדה ולאדם לא־מצא עזר כנגדו׃
01O	2	21		520	ויפל יהוה אלהים ׀ תרדמה על־האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה׃
01O	2	22		530	ויבן יהוה אלהים ׀ את־הצלע אשר־לקח מן־האדם לאשה ויבאה אל־האדם׃
01O	2	23		540	ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה־זאת׃
01O	2	24		550	על־כן יעזב־איש את־אביו ואת־אמו ודבק באשתו והיו לבשר אחד׃
01O	2	25		560	ויהיו שניהם ערומים האדם ואשתו ולא יתבששו׃
01O	3	1		570	והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל־האשה אף כי־אמר אלהים לא תאכלו מכל עץ הגן׃
01O	3	2		580	ותאמר האשה אל־הנחש מפרי עץ־הגן נאכל׃
01O	3	3		590	ומפרי העץ אשר בתוך־הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן־תמתון׃
01O	3	4		600	ויאמר הנחש אל־האשה לא־מות תמתון׃
01O	3	5		610	כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע׃
01O	3	6		620	ותרא האשה כי טוב העץ למאכל וכי תאוה־הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם־לאישה עמה ויאכל׃
01O	3	7		630	ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת׃
01O	3	8		640	וישמעו את־קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן׃
01O	3	9		650	ויקרא יהוה אלהים אל־האדם ויאמר לו איכה׃
01O	3	10		660	ויאמר את־קלך שמעתי בגן ואירא כי־עירם אנכי ואחבא׃
01O	3	11		670	ויאמר מי הגיד לך כי עירם אתה המן־העץ אשר צויתיך לבלתי אכל־ממנו אכלת׃
01O	3	12		680	ויאמר האדם האשה אשר נתתה עמדי הוא נתנה־לי מן־העץ ואכל׃
01O	3	13		690	ויאמר יהוה אלהים לאשה מה־זאת עשית ותאמר האשה הנחש השיאני ואכל׃
01O	3	14		700	ויאמר יהוה אלהים ׀ אל־הנחש כי עשית זאת ארור אתה מכל־הבהמה ומכל חית השדה על־גחנך תלך ועפר תאכל כל־ימי חייך׃
01O	3	15		710	ואיבה ׀ אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב׃    ס
01O	3	16		720	אל־האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל־אישך תשוקתך והוא ימשל־בך׃    ס
01O	3	17		730	ולאדם אמר כי־שמעת  לקול אשתך ותאכל מן־העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך׃
01O	3	18		740	וקוץ ודרדר תצמיח לך ואכלת את־עשב השדה׃
01O	3	19		750	בזעת אפיך תאכל לחם עד שובך אל־האדמה כי ממנה לקחת כי־עפר אתה ואל־עפר תשוב׃
01O	3	20		760	ויקרא האדם שם אשתו חוה כי הוא היתה אם כל־חי׃
01O	3	21		770	ויעש יהוה אלהים לאדם ולאשתו כתנות עור וילבשם׃  פ
01O	3	22		780	ויאמר ׀ יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה ׀ פן־ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם׃
01O	3	23		790	וישלחהו יהוה אלהים מגן־עדן לעבד את־האדמה אשר לקח משם׃
01O	3	24		800	ויגרש את־האדם וישכן מקדם לגן־עדן את־הכרבים ואת להט החרב המתהפכת לשמר את־דרך עץ החיים׃    ס
01O	4	1		810	והאדם ידע את־חוה אשתו ותהר ותלד את־קין ותאמר קניתי איש את־יהוה׃
01O	4	2		820	ותסף ללדת את־אחיו את־הבל ויהי־הבל רעה צאן וקין היה עבד אדמה׃
01O	4	3		830	ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה׃
01O	4	4		840	והבל הביא גם־הוא מבכרות צאנו ומחלבהן וישע יהוה אל־הבל ואל־מנחתו׃
01O	4	5		850	ואל־קין ואל־מנחתו לא שעה ויחר לקין מאד ויפלו פניו׃
01O	4	6		860	ויאמר יהוה אל־קין למה חרה לך ולמה נפלו פניך׃
01O	4	7		870	הלוא אם־תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל־בו׃
01O	4	8		880	ויאמר קין אל־הבל אחיו ויהי בהיותם בשדה ויקם קין אל־הבל אחיו ויהרגהו׃
01O	4	9		890	ויאמר יהוה אל־קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי׃
01O	4	10		900	ויאמר מה עשית קול דמי אחיך צעקים אלי מן־האדמה׃
01O	4	11		910	ועתה ארור אתה מן־האדמה אשר פצתה את־פיה לקחת את־דמי אחיך מידך׃
01O	4	12		920	כי תעבד את־האדמה לא־תסף תת־כחה לך נע ונד תהיה בארץ׃
01O	4	13		930	ויאמר קין אל־יהוה גדול עוני מנשא׃
01O	4	14		940	הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל־מצאי יהרגני׃
01O	4	15		950	ויאמר לו יהוה לכן כל־הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות־אתו כל־מצאו׃
01O	4	16		960	ויצא קין מלפני יהוה וישב בארץ־נוד קדמת־עדן׃
01O	4	17		970	וידע קין את־אשתו ותהר ותלד את־חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך׃
01O	4	18		980	ויולד לחנוך את־עירד ועירד ילד את־מחויאל ומחייאל ילד את־מתושאל ומתושאל ילד את־למך׃
01O	4	19		990	ויקח־לו למך שתי נשים שם האחת עדה ושם השנית צלה׃
01O	4	20		1000	ותלד עדה את־יבל הוא היה אבי ישב אהל ומקנה׃
01O	4	21		1010	ושם אחיו יובל הוא היה אבי כל־תפש כנור ועוגב׃
01O	4	22		1020	וצלה גם־הוא ילדה את־תובל קין לטש כל־חרש נחשת וברזל ואחות תובל־קין נעמה׃
01O	4	23		1030	ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי׃
01O	4	24		1040	כי שבעתים יקם־קין ולמך שבעים ושבעה׃
01O	4	25		1050	וידע אדם עוד את־אשתו ותלד בן ותקרא את־שמו שת כי שת־לי אלהים זרע אחר תחת הבל כי הרגו קין׃
01O	4	26		1060	ולשת גם־הוא ילד־בן ויקרא את־שמו אנוש אז הוחל לקרא בשם יהוה׃  פ
01O	5	1		1070	זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו׃
01O	5	2		1080	זכר ונקבה בראם ויברך אתם ויקרא את־שמם אדם ביום הבראם׃    ס
01O	5	3		1090	ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את־שמו שת׃
01O	5	4		1100	ויהיו ימי־אדם אחרי הולידו את־שת שמנה מאת שנה ויולד בנים ובנות׃
01O	5	5		1110	ויהיו כל־ימי אדם אשר־חי תשע מאות שנה ושלשים שנה וימת׃    ס
01O	5	6		1120	ויחי־שת חמש שנים ומאת שנה ויולד את־אנוש׃
01O	5	7		1130	ויחי־שת אחרי הולידו את־אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות׃
01O	5	8		1140	ויהיו כל־ימי־שת שתים עשרה שנה ותשע מאות שנה וימת׃    ס
01O	5	9		1150	ויחי אנוש תשעים שנה ויולד את־קינן׃
01O	5	10		1160	ויחי אנוש אחרי הולידו את־קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות׃
01O	5	11		1170	ויהיו כל־ימי אנוש חמש שנים ותשע מאות שנה וימת׃    ס
01O	5	12		1180	ויחי קינן שבעים שנה ויולד את־מהללאל׃
01O	5	13		1190	ויחי קינן אחרי הולידו את־מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות׃
01O	5	14		1200	ויהיו כל־ימי קינן עשר שנים ותשע מאות שנה וימת׃    ס
01O	5	15		1210	ויחי מהללאל חמש שנים וששים שנה ויולד את־ירד׃
01O	5	16		1220	ויחי מהללאל אחרי הולידו את־ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות׃
01O	5	17		1230	ויהיו כל־ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת׃    ס
01O	5	18		1240	ויחי־ירד שתים וששים שנה ומאת שנה ויולד את־חנוך׃
01O	5	19		1250	ויחי־ירד אחרי הולידו את־חנוך שמנה מאות שנה ויולד בנים ובנות׃
01O	5	20		1260	ויהיו כל־ימי־ירד שתים וששים שנה ותשע מאות שנה וימת׃  פ
01O	5	21		1270	ויחי חנוך חמש וששים שנה ויולד את־מתושלח׃
01O	5	22		1280	ויתהלך חנוך את־האלהים אחרי הולידו את־מתושלח שלש מאות שנה ויולד בנים ובנות׃
01O	5	23		1290	ויהי כל־ימי חנוך חמש וששים שנה ושלש מאות שנה׃
01O	5	24		1300	ויתהלך חנוך את־האלהים ואיננו כי־לקח אתו אלהים׃  פ
01O	5	25		1310	ויחי מתושלח שבע ושמנים שנה ומאת שנה ויולד את־למך׃
01O	5	26		1320	ויחי מתושלח אחרי הולידו את־למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות׃
01O	5	27		1330	ויהיו כל־ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת׃  פ
01O	5	28		1340	ויחי־למך שתים ושמנים שנה ומאת שנה ויולד בן׃
01O	5	29		1350	ויקרא את־שמו נח לאמר זה  ינחמנו ממעשנו ומעצבון ידינו מן־האדמה אשר אררה יהוה׃
01O	5	30		1360	ויחי־למך אחרי הולידו את־נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות׃
01O	5	31		1370	ויהי כל־ימי־למך שבע ושבעים שנה ושבע מאות שנה וימת׃    ס
01O	5	32		1380	ויהי־נח בן־חמש מאות שנה ויולד נח את־שם את־חם ואת־יפת׃
01O	6	1		1390	ויהי כי־החל האדם לרב על־פני האדמה ובנות ילדו להם׃
01O	6	2		1400	ויראו בני־האלהים את־בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו׃
01O	6	3		1410	ויאמר יהוה לא־ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה׃
01O	6	4		1420	הנפלים היו בארץ בימים ההם וגם אחרי־כן אשר יבאו בני האלהים אל־בנות האדם וילדו להם המה הגברים אשר מעולם אנשי השם׃  פ
01O	6	5		1430	וירא יהוה כי רבה רעת האדם בארץ וכל־יצר מחשבת לבו רק רע כל־היום׃
01O	6	6		1440	וינחם יהוה כי־עשה את־האדם בארץ ויתעצב אל־לבו׃
01O	6	7		1450	ויאמר יהוה אמחה את־האדם אשר־בראתי מעל פני האדמה מאדם עד־בהמה עד־רמש ועד־עוף השמים כי נחמתי כי עשיתם׃
01O	6	8		1460	ונח מצא חן בעיני יהוה׃  פ
01O	6	9		1470	אלה תולדת נח נח איש צדיק תמים היה בדרתיו את־האלהים התהלך־נח׃
01O	6	10		1480	ויולד נח שלשה בנים את־שם את־חם ואת־יפת׃
01O	6	11		1490	ותשחת הארץ לפני האלהים ותמלא הארץ חמס׃
01O	6	12		1500	וירא אלהים את־הארץ והנה נשחתה כי־השחית כל־בשר את־דרכו על־הארץ׃    ס
01O	6	13		1510	ויאמר אלהים לנח קץ כל־בשר בא לפני כי־מלאה הארץ חמס מפניהם והנני משחיתם את־הארץ׃
01O	6	14		1520	עשה לך תבת עצי־גפר קנים תעשה את־התבה וכפרת אתה מבית ומחוץ בכפר׃
01O	6	15		1530	וזה אשר תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה׃
01O	6	16		1540	צהר ׀ תעשה  לתבה ואל־אמה תכלנה  מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלשים תעשה׃
01O	6	17		1550	ואני הנני מביא את־המבול מים על־הארץ לשחת כל־בשר אשר־בו רוח חיים מתחת השמים כל אשר־בארץ יגוע׃
01O	6	18		1560	והקמתי את־בריתי אתך ובאת אל־התבה אתה ובניך ואשתך ונשי־בניך אתך׃
01O	6	19		1570	ומכל־החי מכל־בשר שנים מכל תביא אל־התבה להחית אתך זכר ונקבה יהיו׃
01O	6	20		1580	מהעוף למינהו ומן־הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות׃
01O	6	21		1590	ואתה קח־לך מכל־מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה׃
01O	6	22		1600	ויעש נח ככל אשר צוה אתו אלהים  כן עשה׃    ס
01O	7	1		1610	ויאמר יהוה לנח בא־אתה וכל־ביתך אל־התבה כי־אתך ראיתי צדיק לפני בדור הזה׃
01O	7	2		1620	מכל ׀ הבהמה הטהורה תקח־לך שבעה שבעה איש ואשתו ומן־הבהמה אשר לא טהרה הוא שנים איש ואשתו׃
01O	7	3		1630	גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על־פני כל־הארץ׃
01O	7	4		1640	כי לימים עוד שבעה אנכי ממטיר על־הארץ ארבעים יום וארבעים לילה ומחיתי את־כל־היקום אשר עשיתי מעל פני האדמה׃
01O	7	5		1650	ויעש נח ככל אשר־צוהו יהוה׃
01O	7	6		1660	ונח בן־שש מאות שנה והמבול היה מים על־הארץ׃
01O	7	7		1670	ויבא נח ובניו ואשתו ונשי־בניו אתו אל־התבה מפני מי המבול׃
01O	7	8		1680	מן־הבהמה הטהורה ומן־הבהמה אשר איננה טהרה ומן־העוף וכל אשר־רמש על־האדמה׃
01O	7	9		1690	שנים שנים באו אל־נח אל־התבה זכר ונקבה כאשר צוה אלהים את־נח׃
01O	7	10		1700	ויהי לשבעת הימים ומי המבול היו על־הארץ׃
01O	7	11		1710	בשנת שש־מאות שנה לחיי־נח בחדש השני בשבעה־עשר יום לחדש ביום הזה נבקעו כל־מעינת תהום רבה וארבת השמים נפתחו׃
01O	7	12		1720	ויהי הגשם על־הארץ ארבעים יום וארבעים לילה׃
01O	7	13		1730	בעצם היום הזה בא נח ושם־וחם ויפת בני־נח ואשת נח ושלשת נשי־בניו אתם אל־התבה׃
01O	7	14		1740	המה וכל־החיה למינה וכל־הבהמה למינה וכל־הרמש הרמש על־הארץ למינהו וכל־העוף למינהו כל צפור כל־כנף׃
01O	7	15		1750	ויבאו אל־נח אל־התבה שנים שנים מכל־הבשר אשר־בו רוח חיים׃
01O	7	16		1760	והבאים זכר ונקבה מכל־בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו׃
01O	7	17		1770	ויהי המבול ארבעים יום על־הארץ וירבו המים וישאו את־התבה ותרם מעל הארץ׃
01O	7	18		1780	ויגברו המים וירבו מאד על־הארץ ותלך התבה על־פני המים׃
01O	7	19		1790	והמים גברו  מאד מאד על־הארץ ויכסו כל־ההרים הגבהים אשר־תחת כל־השמים׃
01O	7	20		1800	חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים׃
01O	7	21		1810	ויגוע כל־בשר ׀ הרמש על־הארץ בעוף ובבהמה ובחיה ובכל־השרץ השרץ על־הארץ וכל האדם׃
01O	7	22		1820	כל אשר נשמת־רוח חיים באפיו מכל אשר בחרבה מתו׃
01O	7	23		1830	וימח את־כל־היקום ׀ אשר ׀ על־פני האדמה מאדם עד־בהמה עד־רמש ועד־עוף השמים וימחו מן־הארץ וישאר  אך־נח ואשר אתו בתבה׃
01O	7	24		1840	ויגברו המים על־הארץ חמשים ומאת יום׃
01O	8	1		1850	ויזכר אלהים את־נח ואת כל־החיה ואת־כל־הבהמה אשר אתו בתבה ויעבר אלהים רוח על־הארץ וישכו המים׃
01O	8	2		1860	ויסכרו מעינת תהום וארבת השמים ויכלא הגשם מן־השמים׃
01O	8	3		1870	וישבו המים מעל הארץ הלוך ושוב ויחסרו המים מקצה חמשים ומאת יום׃
01O	8	4		1880	ותנח התבה בחדש השביעי בשבעה־עשר יום לחדש על הרי אררט׃
01O	8	5		1890	והמים היו הלוך וחסור עד החדש העשירי בעשירי באחד לחדש נראו ראשי ההרים׃
01O	8	6		1900	ויהי מקץ ארבעים יום ויפתח נח את־חלון התבה אשר עשה׃
01O	8	7		1910	וישלח את־הערב ויצא יצוא ושוב עד־יבשת המים מעל הארץ׃
01O	8	8		1920	וישלח את־היונה מאתו לראות הקלו המים מעל פני האדמה׃
01O	8	9		1930	ולא־מצאה היונה מנוח לכף־רגלה ותשב אליו אל־התבה כי־מים על־פני כל־הארץ וישלח ידו ויקחה ויבא אתה אליו אל־התבה׃
01O	8	10		1940	ויחל עוד שבעת ימים אחרים ויסף שלח את־היונה מן־התבה׃
01O	8	11		1950	ותבא אליו היונה לעת ערב והנה עלה־זית טרף בפיה וידע נח כי־קלו המים מעל הארץ׃
01O	8	12		1960	וייחל עוד שבעת ימים אחרים וישלח את־היונה ולא־יספה שוב־אליו עוד׃
01O	8	13		1970	ויהי באחת ושש־מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את־מכסה התבה וירא והנה חרבו פני האדמה׃
01O	8	14		1980	ובחדש השני בשבעה ועשרים יום לחדש יבשה הארץ׃    ס
01O	8	15		1990	וידבר אלהים אל־נח לאמר׃
01O	8	16		2000	צא מן־התבה אתה ואשתך ובניך ונשי־בניך אתך׃
01O	8	17		2010	כל־החיה אשר־אתך מכל־בשר בעוף ובבהמה ובכל־הרמש הרמש על־הארץ [הוצא כ] (היצא ק) אתך ושרצו בארץ ופרו ורבו על־הארץ׃
01O	8	18		2020	ויצא־נח ובניו ואשתו ונשי־בניו אתו׃
01O	8	19		2030	כל־החיה כל־הרמש וכל־העוף כל רומש על־הארץ למשפחתיהם יצאו מן־התבה׃
01O	8	20		2040	ויבן נח מזבח ליהוה ויקח מכל ׀ הבהמה הטהורה ומכל העוף הטהר ויעל עלת במזבח׃
01O	8	21		2050	וירח יהוה את־ריח הניחח ויאמר יהוה אל־לבו לא־אסף לקלל עוד את־האדמה בעבור האדם כי יצר לב האדם רע מנעריו ולא־אסף עוד להכות את־כל־חי כאשר עשיתי׃
01O	8	22		2060	עד כל־ימי הארץ זרע וקציר וקר וחם וקיץ וחרף ויום ולילה לא ישבתו׃
01O	9	1		2070	ויברך אלהים את־נח ואת־בניו ויאמר להם פרו ורבו ומלאו את־הארץ׃
01O	9	2		2080	ומוראכם וחתכם יהיה על כל־חית הארץ ועל כל־עוף השמים בכל אשר תרמש האדמה ובכל־דגי הים בידכם נתנו׃
01O	9	3		2090	כל־רמש אשר הוא־חי לכם יהיה לאכלה כירק עשב נתתי לכם את־כל׃
01O	9	4		2100	אך־בשר בנפשו דמו לא תאכלו׃
01O	9	5		2110	ואך את־דמכם לנפשתיכם אדרש מיד כל־חיה אדרשנו ומיד האדם מיד איש אחיו אדרש את־נפש האדם׃
01O	9	6		2120	שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את־האדם׃
01O	9	7		2130	ואתם פרו ורבו שרצו בארץ ורבו־בה׃    ס
01O	9	8		2140	ויאמר אלהים אל־נח ואל־בניו אתו לאמר׃
01O	9	9		2150	ואני הנני מקים את־בריתי אתכם ואת־זרעכם אחריכם׃
01O	9	10		2160	ואת כל־נפש החיה אשר אתכם בעוף בבהמה ובכל־חית הארץ אתכם מכל יצאי התבה לכל חית הארץ׃
01O	9	11		2170	והקמתי את־בריתי אתכם ולא־יכרת כל־בשר עוד ממי המבול ולא־יהיה עוד מבול לשחת הארץ׃
01O	9	12		2180	ויאמר אלהים זאת אות־הברית אשר־אני נתן ביני וביניכם ובין כל־נפש חיה אשר אתכם לדרת עולם׃
01O	9	13		2190	את־קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ׃
01O	9	14		2200	והיה בענני ענן על־הארץ ונראתה הקשת בענן׃
01O	9	15		2210	וזכרתי את־בריתי אשר ביני וביניכם ובין כל־נפש חיה בכל־בשר ולא־יהיה עוד המים למבול לשחת כל־בשר׃
01O	9	16		2220	והיתה הקשת בענן וראיתיה לזכר ברית עולם בין אלהים ובין כל־נפש חיה בכל־בשר אשר על־הארץ׃
01O	9	17		2230	ויאמר אלהים אל־נח זאת אות־הברית אשר הקמתי ביני ובין כל־בשר אשר על־הארץ׃  פ
01O	9	18		2240	ויהיו בני־נח היצאים מן־התבה שם וחם ויפת וחם הוא אבי כנען׃
01O	9	19		2250	שלשה אלה בני־נח ומאלה נפצה כל־הארץ׃
01O	9	20		2260	ויחל נח איש האדמה ויטע כרם׃
01O	9	21		2270	וישת מן־היין וישכר ויתגל בתוך אהלה ׃
01O	9	22		2280	וירא חם אבי כנען את ערות אביו ויגד לשני־אחיו בחוץ׃
01O	9	23		2290	ויקח שם ויפת את־השמלה וישימו  על־שכם שניהם וילכו אחרנית ויכסו את ערות אביהם ופניהם אחרנית וערות אביהם לא ראו׃
01O	9	24		2300	וייקץ נח מיינו וידע את אשר־עשה־לו בנו הקטן׃
01O	9	25		2310	ויאמר ארור כנען עבד עבדים יהיה לאחיו׃
01O	9	26		2320	ויאמר ברוך יהוה אלהי שם ויהי כנען עבד למו׃
01O	9	27		2330	יפת אלהים ליפת וישכן באהלי־שם ויהי כנען עבד למו׃
01O	9	28		2340	ויחי־נח אחר המבול שלש מאות שנה וחמשים שנה׃
01O	9	29		2350	ויהיו כל־ימי־נח תשע מאות שנה וחמשים שנה וימת׃  פ
01O	10	1		2360	ואלה תולדת בני־נח שם חם ויפת ויולדו להם בנים אחר המבול׃
